dataset,family,treatment,candidate,strategy,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,query_p95_ms,double_build_seconds,knowledge_bytes,agent_seconds,native_trial_seconds
enterprise-rag-40,adaptive,construction,candidate-009,title-weight,adaptive,True,40,0.5192943777684301,0.5865079365079364,0.5972222222222222,0.5,1344.6857799999634,61.264699184000165,8016104,94.382115,136.782899
enterprise-rag-40,adaptive,construction,candidate-010,expansion-strength,adaptive,True,40,0.5164197986167101,0.5802579365079364,0.5965277777777778,0.475,1348.5942529996464,58.96102342500035,8016107,91.43119,133.569027
enterprise-rag-40,adaptive,construction,candidate-011,expansion-strength,adaptive,True,40,0.508191229134255,0.5802579365079364,0.5872519841269841,0.475,1334.734796999328,58.961242603000755,8016103,90.724716,132.877645
enterprise-rag-40,adaptive,construction,candidate-012,expansion-strength,adaptive,True,40,0.5159277354905415,0.5802579365079364,0.5969742063492063,0.475,1274.4942040008027,58.7295719090007,8016105,90.624422,132.336922
enterprise-rag-40,adaptive,construction,candidate-013,relevance-diversity,adaptive,True,40,0.5862051635704519,0.6220238095238095,0.6035714285714285,0.525,1305.6016000000454,59.618675779000114,8016102,92.937213,134.985472
enterprise-rag-40,adaptive,construction,candidate-014,relevance-diversity,adaptive,True,40,0.5632001956841676,0.6206349206349207,0.5983333333333334,0.525,1268.0861959997856,58.83894141300061,8016134,90.725012,132.377632
enterprise-rag-40,adaptive,construction,candidate-015,relevance-diversity,adaptive,True,40,0.46269293716630333,0.4919642857142857,0.5864583333333333,0.35,1267.7276369995525,57.32038123999973,8016104,89.455367,132.237591
enterprise-rag-40,adaptive,construction,candidate-016,aspect-allocation,adaptive,True,40,0.5862051635704519,0.6220238095238095,0.6035714285714285,0.525,1301.9236700001784,59.61795695900037,8016101,92.091627,133.838279
enterprise-rag-40,adaptive,construction,candidate-017,aspect-allocation,adaptive,True,40,0.5862051635704519,0.6220238095238095,0.6035714285714285,0.525,1241.9538239992107,57.404227039000034,8016101,89.095549,130.780599
enterprise-rag-40,adaptive,construction,candidate-018,aspect-allocation,adaptive,True,40,0.5862051635704519,0.6220238095238095,0.6035714285714285,0.525,1425.228607000463,58.851323687999866,8016101,94.516281,136.624833
enterprise-rag-40,entity-graph,construction,baseline,baseline,entity,False,40,0.4525282790837736,0.5657738095238095,0.46673611111111113,0.45,47.377801000038744,59.127547057999436,13856388,66.236362,108.840501
enterprise-rag-40,entity-graph,construction,baseline,baseline,fusion,True,40,0.47275963568195856,0.5831349206349207,0.47506944444444443,0.5,47.90867399970011,59.127547057999436,13856388,66.236362,108.840501
enterprise-rag-40,entity-graph,construction,baseline,baseline,lexical,False,40,0.5832760502661439,0.6373015873015873,0.590625,0.55,49.960788000134926,59.127547057999436,13856388,66.236362,108.840501
enterprise-rag-40,entity-graph,construction,baseline,baseline,traversal,False,40,0.43274149507640913,0.5032738095238095,0.4604166666666667,0.375,49.65934499978175,59.127547057999436,13856388,66.236362,108.840501
enterprise-rag-40,entity-graph,construction,candidate-001,length-normalization,entity,False,40,0.4525282790837736,0.5657738095238095,0.46673611111111113,0.45,48.845671999515616,59.68069136699978,13856387,66.839333,109.263171
enterprise-rag-40,entity-graph,construction,candidate-001,length-normalization,fusion,True,40,0.47727963594864053,0.5859126984126984,0.47732142857142856,0.5,48.32519600040541,59.68069136699978,13856387,66.839333,109.263171
enterprise-rag-40,entity-graph,construction,candidate-001,length-normalization,lexical,False,40,0.571255774438253,0.6373015873015873,0.5744047619047619,0.55,54.998552999677486,59.68069136699978,13856387,66.839333,109.263171
enterprise-rag-40,entity-graph,construction,candidate-001,length-normalization,traversal,False,40,0.43274149507640913,0.5032738095238095,0.4604166666666667,0.375,50.38936399978411,59.68069136699978,13856387,66.839333,109.263171
enterprise-rag-40,entity-graph,construction,candidate-002,length-normalization,entity,False,40,0.4525282790837736,0.5657738095238095,0.46673611111111113,0.45,46.477115000016056,60.967217202999564,13856387,68.123976,109.963053
enterprise-rag-40,entity-graph,construction,candidate-002,length-normalization,fusion,True,40,0.4690309418599374,0.5803571428571429,0.4758630952380952,0.5,47.82649099979608,60.967217202999564,13856387,68.123976,109.963053
enterprise-rag-40,entity-graph,construction,candidate-002,length-normalization,lexical,False,40,0.5934344355161814,0.6414682539682539,0.603125,0.55,48.71179500059952,60.967217202999564,13856387,68.123976,109.963053
enterprise-rag-40,entity-graph,construction,candidate-002,length-normalization,traversal,False,40,0.43274149507640913,0.5032738095238095,0.4604166666666667,0.375,52.70244300027116,60.967217202999564,13856387,68.123976,109.963053
enterprise-rag-40,entity-graph,construction,candidate-003,length-normalization,entity,False,40,0.4525282790837736,0.5657738095238095,0.46673611111111113,0.45,47.10648000036599,59.656618447000255,13856387,66.699303,108.656714
enterprise-rag-40,entity-graph,construction,candidate-003,length-normalization,fusion,True,40,0.46879618401232237,0.5803571428571429,0.47551587301587306,0.5,48.142537999410706,59.656618447000255,13856387,66.699303,108.656714
enterprise-rag-40,entity-graph,construction,candidate-003,length-normalization,lexical,False,40,0.5869174474901868,0.6317460317460317,0.6063492063492063,0.55,51.33246399964264,59.656618447000255,13856387,66.699303,108.656714
enterprise-rag-40,entity-graph,construction,candidate-003,length-normalization,traversal,False,40,0.43274149507640913,0.5032738095238095,0.4604166666666667,0.375,50.50542699973448,59.656618447000255,13856387,66.699303,108.656714
enterprise-rag-40,entity-graph,construction,candidate-004,bm25-saturation,entity,False,40,0.4525282790837736,0.5657738095238095,0.46673611111111113,0.45,44.32916599944292,57.90011542100001,13856387,64.774143,106.447163
enterprise-rag-40,entity-graph,construction,candidate-004,bm25-saturation,fusion,True,40,0.47727963594864053,0.5859126984126984,0.47732142857142856,0.5,47.00738299925433,57.90011542100001,13856387,64.774143,106.447163
enterprise-rag-40,entity-graph,construction,candidate-004,bm25-saturation,lexical,False,40,0.571255774438253,0.6373015873015873,0.5744047619047619,0.55,47.015173999170656,57.90011542100001,13856387,64.774143,106.447163
